e_angle,e_mag,m_angle,m_mag,,,
-80.38,-26.12,-80,-35.55605542,,,
-75.81,-25.70,-79,-31.07527733,,,
-72.38,-24.34,-78,-33.08112334,,,
-69.49,-23.16,-77,-30.30773484,,,
-66.95,-23.62,-76,-32.5760654,,,
-64.66,-23.49,-75,-34.17295314,,,
-62.54,-24.66,-74,-30.57832933,,,
-60.56,-25.61,-73,-33.37443972,,,
-58.70,-26.49,-72,-31.25103075,,,
-56.93,-28.61,-71,-29.24691728,,,
-55.25,-30.75,-70,-30.13482796,,,
-53.63,-33.76,-69,-29.65435672,,,
-52.07,-36.80,-68,-30.35361696,,,
-50.56,-34.86,-67,-30.67652282,,,
-49.10,-30.50,-66,-28.90195496,,,
-47.68,-27.34,-65,-29.43078865,,,
-46.30,-25.45,-64,-29.48791518,,,
-44.96,-24.26,-63,-28.15375339,,,
-43.64,-23.24,-62,-30.93782783,,,
-42.35,-22.78,-61,-32.13366929,,,
-41.09,-21.88,-60,-32.93164654,,,
-39.86,-22.18,-59,-30.54777916,,,
-38.64,-23.04,-58,-29.09287868,,,
-37.44,-23.62,-57,-35.85677468,,,
-36.27,-25.88,-56,-43.20553141,,,
-35.11,-27.32,-55,-38.26644118,,,
-33.97,-31.70,-54,-39.73264744,,,
-32.84,-39.30,-53,-36.78300767,,,
-31.72,-40.16,-52,-33.59089339,,,
-30.62,-31.53,-51,-32.23911028,,,
-29.54,-27.93,-50,-32.80839686,,,
-28.46,-25.11,-49,-28.01599686,,,
-27.39,-22.99,-48,-28.07839079,,,
-26.34,-21.04,-47,-27.22859813,,,
-25.29,-19.65,-46,-25.66556158,,,
-24.26,-19.10,-45,-24.88714139,,,
-23.23,-19.26,-44,-23.64600495,,,
-22.21,-18.51,-43,-23.15740764,,,
-21.19,-18.84,-42,-21.94761538,,,
-20.19,-19.06,-41,-21.96035098,,,
-19.19,-20.24,-40,-22.75106936,,,
-18.19,-21.87,-39,-22.68627604,,,
