e_angle,e_mag,m_angle,m_mag
-80.38,-23.99,-80,-32.0383689
-75.81,-23.12,-79,-31.66545921
-72.38,-22.40,-78,-34.02188035
-69.49,-22.63,-77,-28.89476039
-66.95,-22.69,-76,-32.3521953
-64.66,-23.88,-75,-29.28024134
-62.54,-25.21,-74,-29.86305501
-60.56,-26.38,-73,-29.36151851
-58.70,-28.03,-72,-31.6685184
-56.93,-31.80,-71,-30.6289662
-55.25,-34.09,-70,-30.90076154
-53.63,-41.49,-69,-31.45999073
-52.07,-39.58,-68,-30.64810355
-50.56,-35.23,-67,-30.8399291
-49.10,-30.16,-66,-33.55523434
-47.68,-28.22,-65,-34.83272694
-46.30,-27.61,-64,-30.43765994
-44.96,-25.96,-63,-37.1404866
-43.64,-25.28,-62,-39.70611328
-42.35,-25.11,-61,-35.52992394
-41.09,-24.22,-60,-37.33853487
-39.86,-25.54,-59,-40.24159412
-38.64,-25.08,-58,-35.83114673
-37.44,-26.39,-57,-35.30035761
-36.27,-27.61,-56,-33.11275869
-35.11,-30.05,-55,-32.81177251
-33.97,-32.02,-54,-30.18403939
-32.84,-32.73,-53,-28.64426274
-31.72,-32.22,-52,-28.34728714
-30.62,-31.42,-51,-26.42304303
-29.54,-29.94,-50,-27.07508336
-28.46,-29.77,-49,-25.18231563
-27.39,-28.07,-48,-25.25568016
-26.34,-28.71,-47,-23.63903574
-25.29,-28.26,-46,-23.96014124
-24.26,-28.33,-45,-24.01710997
-23.23,-29.70,-44,-23.58806016
-22.21,-30.56,-43,-24.32252189
-21.19,-34.74,-42,-23.95004843
-20.19,-39.28,-41,-24.90951748
-19.19,-50.50,-40,-26.47728712
-18.19,-40.58,-39,-26.63420051
-17.20,-35.34,-38,-28.01537223
-16.22,-31.69,-37,-31.35033244
-15.24,-28.38,-36,-31.40399849
-14.27,-26.41,-35,-38.07894627
-13.30,-24.52,-34,-42.85928275
-12.33,-23.05,-33,-47.05517179
-11.37,-22.24,-32,-35.65670768
-10.41,-22.06,-31,-33.41898132
-9.46,-22.35,-30,-32.09883341
-8.50,-22.21,-29,-28.45876819
-7.55,-22.00,-28,-28.15903972
-6.61,-22.82,-27,-27.24298341
-5.66,-23.83,-26,-25.80565821
-4.71,-25.23,-25,-26.84223205
-3.77,-27.08,-24,-25.71070469
-2.83,-29.66,-23,-26.67867079
-1.88,-35.63,-22,-28.26858085
-0.94,-46.98,-21,-27.62824622
0.00,-37.62,-20,-30.3947318
0.94,-30.68,-19,-32.60174633
1.88,-28.63,-18,-33.92437124
2.83,-26.73,-17,-32.31430542
3.77,-24.70,-16,-33.10765112
4.71,-23.12,-15,-29.47847622
5.66,-22.55,-14,-27.30198953
6.61,-22.34,-13,-26.94217435
7.55,-23.31,-12,-24.97203533
8.50,-23.17,-11,-25.09081561
9.46,-24.51,-10,-25.3873169
10.41,-26.44,-9,-24.95930766
11.37,-29.59,-8,-25.87670827
12.33,-34.54,-7,-27.17680031
13.30,-32.84,-6,-28.527842
14.27,-26.54,-5,-32.37940666
15.24,-22.53,-4,-38.12110929
16.22,-19.55,-3,-41.58521121
17.20,-16.93,-2,-34.13170473
18.19,-14.92,-1,-30.719942
19.19,-13.54,0,-25.878800
20.19,-12.29,1,-24.431706
21.19,-11.19,2,-22.688592
22.21,-10.21,3,-21.601850
23.23,-9.51,4,-20.841070
